,Q3,Q4,Q5,Q6,Q7,Q10,Q12,Q14,Q16,Q18,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37
0,1,6,1,2,1,5,2,1,1,2,5,2,1,1,5,1,7,6,4,5,1,6,7,1,1
1,5,7,6,1,5,7,3,3,2,5,3,2,1,6,7,2,7,4,3,5,5,3,3,6,2
2,1,3,4,2,2,5,1,4,2,2,3,3,2,2,2,2,4,1,2,2,1,2,2,1,1
3,1,2,4,1,6,6,3,1,2,5,6,2,4,6,5,1,6,5,4,3,5,2,3,4,4
4,4,7,7,3,3,6,1,1,1,2,5,1,2,1,5,1,7,5,5,5,7,5,5,2,1
5,5,7,7,3,4,6,1,2,1,6,6,1,4,5,6,1,4,4,4,4,1,7,4,1,1
6,3,6,5,1,3,6,3,3,1,3,3,2,3,5,4,1,6,5,2,4,3,5,5,3,2
7,7,7,2,1,4,3,1,3,2,2,3,1,2,5,4,1,7,7,1,1,1,4,4,1,1
8,5,6,4,2,3,4,2,2,3,5,5,2,2,4,5,3,7,5,5,5,2,6,6,2,3
9,5,7,5,1,5,5,3,3,3,6,5,4,3,5,5,1,3,2,3,3,3,5,3,5,5
10,3,4,1,1,2,6,2,2,2,6,4,1,2,1,2,1,7,5,3,4,1,3,5,1,3
11,4,6,4,4,5,5,3,2,2,4,6,4,4,4,5,3,6,7,4,5,4,4,5,4,4
12,4,6,2,1,2,5,1,2,1,4,3,1,2,4,5,1,6,5,5,5,3,5,3,2,3
13,5,5,1,1,5,5,1,3,2,2,4,1,2,2,4,2,6,7,4,5,2,4,2,1,2
14,7,3,7,7,3,3,7,7,7,7,4,7,6,7,4,7,4,2,7,4,3,4,6,7,4
15,2,6,1,1,2,3,1,2,1,2,3,2,1,4,4,1,4,1,1,2,2,5,2,1,3
16,6,7,6,1,6,5,3,2,3,3,6,2,2,3,5,2,6,7,3,5,5,5,6,1,4
17,3,6,5,5,7,3,1,2,2,3,7,5,2,6,6,2,7,7,3,7,6,6,6,2,2
18,2,6,1,1,2,2,1,1,1,5,2,2,3,5,7,1,3,4,1,3,3,2,2,1,1
19,5,6,2,1,2,3,1,3,1,2,4,1,1,2,4,1,7,7,1,3,3,6,6,4,5
20,6,7,6,2,7,7,7,2,7,7,7,3,7,3,7,1,7,7,2,7,6,1,2,7,7
21,1,7,7,1,1,4,1,1,1,4,7,1,1,4,7,1,1,1,1,1,1,1,1,1,1
22,4,6,3,5,3,3,4,1,1,4,7,6,5,5,5,4,2,5,2,6,5,6,2,6,1
23,6,7,2,1,7,5,4,5,4,7,5,5,4,3,7,1,2,3,1,3,6,6,1,4,3
24,2,3,3,1,1,5,2,1,1,3,3,2,1,2,3,1,7,3,7,7,2,6,5,3,2
25,2,6,1,1,1,5,1,1,1,4,6,1,2,2,6,1,7,5,1,1,1,3,4,2,1
26,7,7,2,1,1,7,2,5,2,1,7,2,1,1,3,1,7,7,1,7,1,7,1,1,7
27,1,6,1,1,1,3,1,1,1,1,4,1,1,2,3,3,7,5,2,3,1,3,3,1,1
28,2,7,1,1,1,5,1,1,1,1,6,5,2,2,6,1,7,7,7,7,1,7,7,3,1
29,4,3,3,7,4,2,4,3,4,4,5,5,7,6,5,7,3,4,4,5,6,3,3,6,5
30,5,5,6,1,5,6,3,6,4,6,5,5,2,5,6,3,7,6,6,6,1,6,5,1,1
31,5,7,4,2,1,5,1,1,1,3,5,1,1,1,3,1,7,5,1,1,1,5,1,1,1
32,6,6,2,1,2,6,1,1,1,2,6,2,1,2,2,1,6,5,2,2,5,3,2,1,2
33,3,7,4,1,5,5,2,1,1,6,7,3,1,5,6,1,5,2,1,1,1,4,5,2,1
34,7,7,4,1,7,4,4,4,4,5,4,4,4,4,5,4,7,7,4,7,7,7,5,7,1
35,5,7,3,1,2,2,3,6,3,3,6,2,6,7,7,1,5,7,4,4,5,5,4,5,4
36,5,7,6,1,3,6,1,5,1,3,5,2,1,2,6,6,1,7,2,1,2,2,3,1,1
37,3,5,5,1,2,5,1,1,2,5,6,1,1,1,5,1,7,7,1,4,6,7,1,1,1
38,3,6,2,1,5,5,2,1,2,5,4,3,2,4,2,1,6,4,4,6,4,5,5,3,3
39,4,6,6,4,4,4,4,4,4,4,5,2,4,4,4,1,7,4,1,1,4,4,4,4,4
40,5,7,7,1,7,5,4,4,1,5,5,3,6,2,6,2,6,6,2,2,4,5,2,5,5
41,2,5,2,1,1,2,1,1,1,4,4,1,1,1,5,1,4,5,1,4,4,5,4,4,4
42,6,7,5,1,5,6,2,1,2,5,6,2,4,1,5,1,4,6,1,4,3,5,4,4,3
43,3,5,2,1,1,5,1,2,1,1,2,1,1,2,2,1,7,7,3,6,5,6,2,1,3
44,3,7,1,1,2,5,1,1,1,5,7,1,5,7,7,1,7,5,1,1,7,7,7,1,3
45,5,6,5,1,1,6,1,1,1,1,6,4,1,4,5,1,6,6,5,7,1,5,5,1,1
46,5,6,4,1,3,2,1,1,1,1,1,1,1,2,2,1,7,6,2,4,1,4,5,5,1
47,2,7,1,1,4,5,1,5,1,3,5,1,3,1,3,1,7,1,1,2,1,2,2,1,1
48,2,4,5,6,2,1,1,2,2,5,5,7,6,7,7,6,6,1,1,6,5,2,1,6,2
49,5,7,5,3,3,3,3,3,3,5,5,5,5,5,5,3,3,5,3,5,3,3,3,3,3
50,2,6,1,1,1,3,1,1,1,2,2,1,1,5,3,1,7,4,3,6,5,7,6,1,1
51,2,4,1,1,1,4,1,1,1,1,1,1,1,1,5,1,6,7,1,6,1,6,4,1,1
52,2,6,7,1,7,1,1,1,1,1,1,5,1,1,1,1,6,3,4,4,4,4,4,3,4
53,4,7,1,1,2,1,1,1,1,1,7,1,1,3,2,1,2,2,1,1,1,1,1,1,1
54,6,6,2,1,2,6,2,2,1,4,1,1,1,3,2,1,7,7,1,1,1,5,1,1,1
55,2,5,2,1,2,2,1,1,1,5,5,1,1,3,3,1,7,6,1,1,3,7,6,2,2
56,6,6,4,1,5,5,2,4,4,5,5,3,2,2,6,3,6,6,5,5,2,4,3,2,2
57,2,7,1,2,1,1,1,1,1,4,2,1,1,1,3,2,6,3,3,3,4,3,2,1,2
58,5,7,5,1,7,5,1,1,1,5,6,1,1,5,4,1,7,7,1,2,1,2,2,1,1
59,2,6,3,1,3,3,1,1,1,3,6,2,4,4,5,2,6,5,4,5,4,5,5,4,4
60,2,7,5,1,4,4,3,2,2,1,4,3,3,1,3,3,7,7,5,6,3,4,2,1,3
61,5,5,4,1,5,6,3,3,2,5,3,5,2,2,6,1,7,7,1,1,3,6,5,1,2
62,4,2,6,7,7,2,5,5,6,4,3,6,6,5,3,7,6,3,6,3,3,4,1,7,5
63,2,5,1,1,2,3,3,2,2,5,3,3,2,4,5,1,6,6,2,5,4,5,6,2,2
64,3,7,2,2,2,5,2,2,1,2,7,2,1,1,4,1,7,6,5,6,5,5,3,3,2
65,1,2,1,1,1,6,1,1,1,1,2,1,1,2,1,1,7,4,1,2,1,2,1,1,1
66,2,4,3,1,1,6,3,1,1,7,4,1,1,1,5,1,7,4,5,7,1,2,4,1,1
67,4,7,1,1,2,6,2,1,1,6,2,2,1,3,6,1,1,3,1,1,2,5,7,3,1
68,6,6,6,1,1,5,1,1,1,3,5,1,1,1,3,1,7,7,1,3,2,4,1,1,1
69,4,6,3,1,3,6,3,1,1,1,4,1,1,1,1,1,2,2,1,2,1,4,3,1,4
70,1,7,1,1,2,6,1,1,1,5,5,1,2,5,7,1,7,3,2,3,5,6,5,1,2
71,3,5,1,1,1,5,2,4,3,1,5,2,2,3,4,2,7,5,2,2,5,5,5,2,1
72,6,7,5,1,2,1,1,1,1,1,5,3,1,2,1,1,7,7,1,1,7,1,2,1,1
73,1,6,5,2,1,2,1,1,1,2,1,2,1,2,5,1,6,4,2,5,5,3,1,1,1
74,2,7,3,1,3,2,1,1,1,2,3,3,1,2,5,1,7,1,1,1,2,4,6,1,1
75,2,6,2,1,1,5,1,1,2,4,4,2,2,3,5,1,7,3,1,1,2,5,7,1,1
76,1,1,1,1,1,2,1,1,1,1,5,5,1,1,4,1,7,1,1,6,2,2,7,1,1
77,4,5,4,2,4,3,1,4,2,5,6,6,5,5,4,1,7,6,2,7,2,7,7,6,4
78,1,5,1,7,2,4,1,1,1,1,3,2,2,3,3,1,7,2,5,5,3,3,3,3,2
79,7,6,6,1,4,3,1,2,1,2,3,3,1,1,5,2,6,6,2,5,2,3,3,3,2
80,4,7,1,1,4,3,1,1,1,3,3,2,2,3,5,1,7,7,1,5,1,3,4,1,1
81,2,2,1,1,2,5,1,4,2,1,2,1,1,1,2,1,3,1,1,3,2,5,6,1,1
82,5,6,6,1,4,5,2,5,2,3,6,3,4,5,5,2,6,3,1,5,4,5,2,2,1
83,3,5,4,1,2,5,2,2,1,4,5,1,2,5,6,1,6,5,4,6,3,5,4,4,5
84,5,7,3,2,2,5,4,2,2,6,6,2,3,5,5,4,5,5,4,5,4,5,3,3,3
85,3,4,4,1,2,5,2,3,1,6,4,2,1,1,1,1,6,4,2,2,1,2,4,2,2
86,3,7,5,2,6,6,2,4,2,5,6,2,3,4,5,1,7,6,3,4,2,5,5,3,4
87,6,6,6,3,4,6,6,4,2,5,6,2,2,5,6,1,6,7,2,2,3,5,4,4,3
88,3,3,3,3,3,2,1,1,1,4,3,1,3,2,5,1,5,3,1,2,2,5,5,2,1
89,3,6,3,2,3,3,1,2,1,6,2,3,2,3,5,2,6,6,5,6,3,5,3,2,3
90,5,6,2,2,2,3,1,5,1,3,3,2,1,3,3,1,6,6,2,2,3,3,2,2,2
91,2,6,2,1,2,6,1,5,2,6,3,2,2,5,5,2,6,5,2,5,5,5,3,5,2
92,4,7,5,1,1,5,2,1,2,3,6,2,1,4,6,5,7,7,1,5,1,6,1,1,1
93,3,7,2,2,6,2,1,1,1,1,5,4,3,5,5,5,6,6,2,2,5,5,3,1,1
94,5,7,5,1,5,3,1,1,1,2,3,1,1,2,4,1,7,7,3,7,2,5,4,1,1
95,1,3,1,1,2,4,2,1,2,3,2,2,2,4,5,3,7,1,5,4,3,3,5,2,1
96,3,6,2,1,5,5,4,2,3,5,3,2,3,3,6,1,5,3,1,6,1,7,1,3,3
97,5,7,2,1,4,5,2,4,1,5,2,6,6,4,5,1,6,5,5,5,5,6,7,5,2
98,4,5,2,4,2,5,2,1,2,4,4,5,4,5,4,3,7,6,5,6,4,5,6,2,3
99,2,5,1,1,3,5,1,3,1,5,5,2,1,5,6,2,7,2,1,7,5,7,6,1,2
100,4,7,2,1,2,5,3,5,4,5,7,5,5,6,6,2,6,6,3,3,4,4,4,3,2
101,2,7,5,1,1,6,4,1,1,5,7,5,4,6,6,2,4,4,4,4,3,5,4,4,4
102,1,7,1,1,1,1,5,1,1,1,7,1,3,7,7,1,1,7,1,1,1,1,1,1,1
103,5,7,3,1,6,6,2,4,3,6,3,2,2,5,5,1,5,6,3,5,3,6,6,2,2
104,6,7,6,2,5,5,3,5,3,5,3,4,5,3,6,2,6,4,4,4,4,5,4,4,4
105,2,6,3,1,3,3,2,1,1,3,3,2,1,3,3,1,6,3,4,4,2,2,3,1,2
106,5,7,5,1,3,3,3,1,1,5,7,4,4,4,5,1,7,6,1,4,1,2,4,1,1
107,5,7,3,4,2,6,1,1,1,1,6,2,1,1,1,2,7,4,1,4,4,4,4,1,1
108,7,7,7,1,7,6,5,4,4,6,7,7,5,6,6,3,7,7,4,6,4,5,5,5,3
109,4,6,1,1,2,3,1,1,1,1,6,1,1,1,5,1,7,7,1,7,4,7,4,1,1
110,6,7,6,2,2,4,4,6,5,5,6,2,4,5,6,1,7,6,1,6,4,5,6,5,5
111,5,6,7,1,3,7,5,5,5,6,6,3,3,6,5,2,6,7,1,7,3,5,6,2,2
112,5,6,5,1,1,5,1,1,2,1,1,1,4,4,7,1,7,1,1,1,3,3,7,1,4
113,5,7,2,1,7,5,3,2,1,7,7,2,3,3,6,1,5,3,3,3,2,5,5,3,3
114,1,6,1,1,1,6,1,5,1,6,7,1,2,2,6,1,6,7,1,3,1,5,2,2,2
115,2,4,5,1,1,5,1,3,3,2,5,1,2,1,6,5,4,5,3,3,1,1,1,1,1
116,3,6,2,1,6,4,1,1,1,1,5,5,5,3,5,4,5,3,2,2,2,3,2,2,1
117,3,7,4,2,1,7,2,6,1,1,4,2,6,7,2,1,1,5,2,2,2,2,2,5,2
118,5,6,6,4,4,5,4,5,4,5,4,2,4,4,5,4,7,6,4,5,5,4,6,4,4
119,2,6,1,2,6,1,1,1,1,3,6,3,5,6,6,1,3,6,2,3,5,4,2,2,1
120,4,6,2,1,5,6,2,2,2,3,4,2,4,4,4,4,5,5,4,5,4,4,4,4,4
121,1,7,1,1,2,4,1,1,1,2,2,1,1,1,1,1,5,4,1,4,2,5,4,1,1
122,5,5,5,1,3,6,1,2,1,6,6,1,1,3,4,3,4,5,1,3,2,6,3,1,2
123,5,7,7,1,2,1,1,1,1,3,6,1,1,1,5,2,7,5,1,3,3,5,7,2,1
124,5,1,5,6,6,3,4,3,3,5,3,4,6,2,2,2,3,5,4,3,3,5,5,5,3
125,2,7,1,1,5,7,2,1,1,7,7,2,4,3,7,1,1,1,4,1,1,5,1,2,1
126,5,6,2,1,3,5,1,4,1,5,5,4,3,5,5,1,4,4,4,4,3,3,3,2,1
127,4,6,3,1,5,5,2,5,3,5,6,4,3,3,5,3,5,4,2,4,5,5,2,2,2
128,7,7,1,1,1,3,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,3,3,1,1
129,4,7,2,1,1,6,1,1,1,1,5,1,1,1,4,1,5,7,1,1,1,7,3,1,1
130,5,7,7,1,4,6,2,4,3,3,4,3,2,1,6,1,5,7,1,2,3,4,2,3,1
131,1,2,1,1,2,2,1,1,1,5,4,1,1,5,4,1,1,3,1,1,1,1,1,1,1
132,3,6,5,1,5,7,1,2,2,2,5,1,2,2,3,2,7,2,3,5,5,7,6,2,2
133,5,7,3,2,5,5,2,2,2,5,6,4,3,4,5,1,7,7,2,6,5,6,5,3,2
134,4,5,2,2,4,3,1,1,1,4,4,1,2,5,3,2,7,5,6,7,3,5,4,2,2
135,3,3,1,1,2,2,1,1,1,2,5,4,3,5,3,1,5,3,1,2,5,5,5,5,4
136,4,6,7,1,4,6,4,4,4,4,7,4,3,6,5,1,6,4,4,4,1,3,1,1,1
137,4,6,2,1,4,5,1,1,1,3,6,2,5,4,3,1,5,5,4,5,3,3,3,1,1
138,3,7,5,1,6,4,2,2,2,2,5,3,2,2,2,1,3,3,1,1,1,3,2,1,3
139,4,6,4,1,1,6,1,1,2,2,7,5,1,5,6,1,7,7,5,3,3,4,2,1,1
140,1,5,1,1,1,2,1,1,1,1,3,1,1,1,2,1,7,5,3,6,7,6,1,1,1
141,2,2,1,1,1,2,2,3,1,3,2,1,2,2,1,1,5,5,2,4,2,3,5,3,1
142,3,6,2,4,5,2,2,2,2,4,5,3,4,5,5,2,6,6,3,5,4,6,6,3,3
143,5,2,2,1,1,6,1,1,1,6,2,2,2,1,1,1,7,7,1,1,1,7,5,1,1
144,5,7,7,1,4,1,1,1,1,7,7,5,1,3,1,1,5,5,1,1,3,3,2,5,5
145,4,7,1,1,1,5,1,1,1,5,6,5,5,5,7,1,7,7,1,1,1,4,5,6,1
146,5,7,3,1,1,7,7,7,7,7,6,1,1,1,1,1,7,7,1,1,1,1,1,1,1
147,2,6,1,1,2,6,4,1,2,5,5,1,4,5,3,5,7,7,7,7,6,7,5,1,3
148,1,5,1,1,1,5,1,2,1,5,1,1,1,2,3,1,7,6,1,2,1,5,1,1,1
149,4,4,4,2,4,5,2,2,2,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4
150,2,6,3,1,2,4,2,3,1,3,2,2,3,2,3,1,2,2,2,2,2,4,3,2,2
151,4,7,4,1,2,2,2,2,1,3,2,3,2,3,2,1,7,6,3,7,1,6,7,1,2
152,5,5,6,1,7,6,2,2,1,5,7,2,5,5,6,1,7,7,3,5,6,2,7,3,1
153,1,7,1,1,1,3,1,1,2,3,3,3,2,6,6,1,7,5,1,3,1,3,3,1,1
154,2,7,1,1,1,6,1,1,1,6,1,1,1,1,2,1,5,7,1,2,1,1,1,1,1
155,3,7,2,1,1,5,1,3,1,5,1,2,1,2,3,1,6,7,2,4,2,6,4,1,5
156,4,6,3,2,4,4,3,2,3,3,5,2,4,2,3,1,1,5,1,4,4,4,5,4,4
157,5,7,1,1,2,3,1,3,1,3,4,3,4,5,4,1,1,1,1,1,2,2,1,1,1
158,6,7,1,1,5,7,5,1,3,5,5,1,2,6,7,1,7,7,5,7,6,7,6,2,1
159,1,6,1,1,1,5,2,1,1,6,1,3,3,3,6,1,7,7,7,7,6,6,6,1,3
160,3,7,4,1,5,6,1,1,1,6,7,1,1,2,7,1,7,7,1,2,1,6,6,2,2
161,2,6,4,1,2,6,1,3,3,5,7,2,3,5,7,2,7,7,6,5,3,5,4,4,1
162,5,7,7,1,1,7,2,5,4,6,7,7,7,6,7,1,7,7,1,1,4,2,1,2,3
163,5,7,2,1,7,6,3,5,3,5,4,1,5,7,6,2,7,7,1,7,1,7,5,1,2
164,4,5,3,1,5,5,4,4,4,4,5,3,4,4,5,3,6,5,5,5,4,4,4,3,3
165,5,7,5,1,2,3,1,1,1,2,5,2,3,5,5,1,6,6,2,2,4,3,5,3,6
166,1,6,1,1,4,4,1,1,1,3,5,1,4,7,7,4,6,5,4,6,4,6,4,1,2
167,1,7,1,1,1,2,1,1,1,1,6,1,1,1,6,1,5,4,1,4,1,5,5,1,2
168,5,7,2,1,1,6,1,3,1,6,3,2,1,1,5,1,7,4,4,7,1,5,5,1,4
169,4,5,2,2,2,2,2,2,2,6,5,2,2,2,6,2,6,6,2,2,2,2,2,2,2
170,2,4,2,1,1,5,1,2,1,5,2,2,1,4,5,1,1,2,1,2,3,1,2,2,1
171,4,4,4,4,4,7,4,4,4,4,4,4,7,1,7,1,1,1,1,1,1,4,1,1,2
172,2,7,1,1,3,3,1,3,2,3,5,2,2,5,6,5,5,5,2,5,6,6,5,3,5
173,2,3,3,1,2,4,1,2,1,2,2,1,1,1,3,3,7,2,1,2,1,2,1,1,1
174,5,6,2,6,4,6,1,1,3,2,2,5,1,7,6,6,1,2,1,1,2,2,1,1,1
175,4,5,6,1,6,5,3,3,1,3,5,6,3,1,3,1,1,1,1,1,5,5,1,1,1
176,3,5,4,1,2,6,2,1,1,5,5,1,1,5,5,1,7,3,1,3,1,6,4,1,2
177,3,5,3,2,1,3,1,3,1,2,1,1,1,3,2,1,2,2,1,2,1,2,1,1,1
178,1,5,1,1,1,5,1,1,1,1,3,1,1,2,3,1,7,6,2,6,2,6,4,1,3
179,1,2,1,1,1,2,1,1,1,3,3,1,1,2,2,1,6,2,1,3,3,1,1,1,1
180,5,7,1,1,3,6,4,1,1,5,6,1,2,1,5,1,6,2,1,6,3,5,5,1,1
181,5,7,5,1,2,5,3,2,3,6,6,3,4,5,6,2,7,5,4,4,6,6,6,6,6
182,5,5,6,1,5,4,5,2,4,5,6,2,3,4,5,4,7,3,3,3,4,5,3,3,5
183,4,7,2,1,3,4,2,1,2,2,4,4,2,3,4,1,4,3,2,3,1,6,1,1,1
184,1,6,1,1,1,3,1,1,2,1,3,1,1,3,5,1,6,7,1,5,1,6,6,1,1
185,2,5,1,1,3,3,1,1,1,3,5,2,1,3,5,1,6,3,1,3,2,3,4,1,1
186,6,7,1,1,6,3,2,7,6,4,2,4,3,6,7,1,5,7,1,2,1,5,6,3,1
187,3,7,1,1,3,5,1,2,1,3,5,2,2,5,6,1,7,7,2,5,2,6,5,2,2
188,3,5,1,1,2,3,1,2,1,2,3,2,4,4,4,1,6,4,1,5,1,3,4,2,1
189,3,5,4,1,3,4,4,1,1,3,4,2,4,4,4,3,6,5,4,6,2,4,3,2,3
190,3,1,6,5,4,2,2,7,5,1,2,5,3,3,5,2,5,2,7,5,2,2,2,2,1
191,5,6,5,1,4,4,2,3,2,6,5,5,2,4,6,1,1,5,1,3,3,4,3,6,5
192,4,5,4,1,1,1,1,1,1,3,5,4,4,1,4,1,5,4,4,4,2,2,4,1,1
193,5,7,7,1,2,6,1,2,1,5,6,7,2,1,5,1,7,7,5,6,4,5,7,4,5
194,4,6,6,1,6,6,1,5,2,4,4,4,2,2,5,2,5,3,4,4,2,2,5,2,3
195,2,4,2,1,6,4,1,2,1,5,5,2,5,2,6,4,6,3,4,6,2,6,5,3,1
196,1,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,6,2,5,5,1,1,1,1,1
197,1,7,4,1,7,5,3,5,3,6,6,5,4,6,6,1,5,4,1,7,4,5,5,3,2
198,3,7,7,1,1,1,2,1,2,1,7,6,1,7,1,1,7,7,1,6,3,1,7,1,3
199,3,7,1,1,1,4,1,1,1,5,7,2,1,1,5,1,6,6,3,1,3,3,2,2,1
200,2,5,2,1,4,6,2,6,6,3,3,4,3,3,2,4,1,3,4,1,2,1,4,4,7
201,6,6,5,2,4,6,4,6,5,6,7,4,4,4,7,1,7,3,1,1,1,2,1,1,1
202,7,3,5,4,4,4,3,2,3,7,3,5,4,4,3,4,5,3,5,3,2,3,3,2,5
203,5,6,2,1,2,5,1,2,2,5,6,2,2,5,6,1,6,6,4,4,4,2,3,5,2
204,2,5,6,1,2,7,1,5,2,6,5,5,2,7,5,3,6,2,2,5,3,3,3,3,3
205,5,5,6,2,6,4,5,4,3,5,4,3,3,4,5,4,3,5,5,5,3,3,5,3,5
206,2,6,2,1,1,5,2,6,3,1,5,1,1,4,2,1,7,6,1,6,2,7,7,1,2
207,4,5,5,1,3,5,1,1,1,1,5,1,1,1,2,1,7,5,1,1,5,7,7,1,1
208,2,6,4,2,3,5,3,4,2,5,4,3,2,4,5,4,7,5,3,3,5,5,3,2,4
209,6,5,1,1,1,6,1,1,1,6,1,1,1,3,5,1,7,4,1,4,1,3,4,1,1
210,5,6,5,1,4,4,3,5,3,2,5,2,1,2,5,2,6,5,2,4,3,7,4,2,2
